,0
656,3909.0
657,3882.285714285714
658,4066.4285714285716
659,4033.0
660,4002.1428571428573
661,3934.5714285714284
662,3941.4285714285716
663,3976.285714285714
664,4015.1428571428573
665,3962.0
666,3945.1428571428573
667,4030.4285714285716
668,3785.285714285714
669,4030.714285714286
670,3953.285714285714
671,4053.5714285714284
672,3900.1428571428573
673,3936.5714285714284
674,3913.8571428571427
675,3943.4285714285716
676,3967.0
677,3963.5714285714284
678,4000.8571428571427
679,4033.285714285714
680,3914.1428571428573
681,3937.8571428571427
682,3956.4285714285716
683,4069.714285714286
684,3857.8571428571427
685,3969.4285714285716
686,3997.1428571428573
687,3964.8571428571427
688,4026.1428571428573
689,4031.285714285714
690,3913.285714285714
691,3987.0
692,3868.4285714285716
693,3952.0
694,3998.8571428571427
695,3979.0
696,4024.714285714286
697,4000.4285714285716
698,3964.1428571428573
699,4030.5714285714284
700,4029.5714285714284
701,3881.285714285714
702,3976.0
